postText	phrase(s)	spoiler
Five Nights at Freddy’s Sequel Delayed for Weird Reason	[Cawthon’s reason for suddenly delaying Five Nights at Freddy’s Sister Location from its planned October 7th release date doesn’t make much sense.]	['some of the plot elements are so disturbing that they are making him feel sick']
Why Arizona Sheriff Joe Arpaio’s fate could hang on a single word	"[PHOENIX — A single word — ""intentionally"" — could transform a court case against Phoenix-area Sheriff Joe Arpaio from civil charges to a criminal prosecution.]"	"['""intentionally""', 'could transform a court case against Phoenix-area Sheriff Joe Arpaio from civil charges to a criminal prosecution']"
Here’s how much you should be tipping your hairdresser	[But knowing how much to tip your hairdresser has to be one of the more confusing tip scenarios out there, especially if you get your hair done at a salon where more than one person works on your strands., And yes, it’s OK to tip even if your hairdresser is the owner of the salon.]	['20%']
"Harry Potter"" alums reunite for new movie	[The movie also afforded him the opportunity to reunite with fellow Hogwarts alum Rupert Grint, who portrays one-third of derriere-bearing punk band The Dead Boys, alongside Justin Bartha and Bronson Adams., Had you seen each other since doing press for the eighth ""Harry Potter"" movie?]	['Alan Rickman & Rupert Grint', 'CBGB']
A man swallowed a microSD card and you won't believe what happened next!	[Also, they just ran a story about a man who swallowed a 64GB microSD card and then pooped it into a strainer so he could maybe recover the drone footage he shot on it.]	['a man who swallowed a 64GB microSD card and then pooped it into a strainer']
This popular soda could cure your hangovers scientists say:	[A group of Chinese researchers say that they may have indeed found this perfect hangover cure -- and it goes by the name of ""Sprite."", Do you have a tried-and-tested hangover cure that you swear by?]	['Sprite']
The anytime snack you won't feel guilty about eating	[Whether you're between meals or craving a midnight snack, there's no need to feel guilty about getting your fill.]	['Smoky Paprika-Baked Garbanzo Beans']
You won't believe this stunning ""Harry Potter"" revelation about Professor McGonagall	[From reading J.K. Rowling‘s Harry Potter saga, and watching the films, we know a lot about one of our favorite professors and Head of Gryffindor house, Professor Minerva McGonagall.]	['McGonagall was appointed as Dumbledore’s assistant in 1956, not as his replacement.']
J.J. Abrams has an answer on if there will be a post-credits scene in the new 'Star Wars'	[Because of this, some have wondered if this could be something new for the ""Star Wars"" series as well... but now J.J. Abrams has definitely put an end to that conversation., Now it sounds like that post-credits scene definitely isn’t happening – so instead maybe we can just expect the blockbuster to come with a trailer for the eighth live-action ""Star Wars"" movie during the coming attractions., After all, the feelings about the lack of a post-credits scene should be drowned out by the excitement that comes with the fact that we’re now less than two weeks away from the theatrical release of ""Star Wars: The Force Awakens.""]	['All the scenes are actually in the movie']
Kristin Cavallari (@KristinCav) opens up about just how fake ""The Hills"" was	[Well, it couldn't have been any faker -- just ask Kristin Cavallari., Earlier this month, Cavallari opened up to Andy Cohen about how scripted it was., To find out what else Cavallari had to say about ""The Hills,"" head over to Bethenny.]	['""I had fake relationships, fake fights. I don\'t care anymore, I can tell you.']
How 1 model prepares for lingerie shoots	[The life of a lingerie model is quite a foreign one to us., The model (and daughter of Isabelli Rossellini) is the new face of Agent Provocateur, and she shows off the brand's signature seductive lingerie in the latest commercial alongside actress Melissa George., That doesn't sound too bad, especially when you consider the egg powder diet some of her lingerie modeling peers take on before a gig., As for us, we don't plan on participating in a lingerie shoot -- or cutting out sugar -- any time soon.]	['Elettra Wiedemann', 'extra strength work, so weights, and quite a few planks for my core. My diet stayed pretty much the same, except I cut out sugar for the week of the shoot']
Guess who Obama just dined with in Vietnam	[President Obama dined on Monday night with Anthony Bourdain in Hanoi, Vietnam during the president's week-long trip to Asia.]	['Anthony Bourdain']
How This 20-Year-Old Died From Kissing Her Boyfriend	[Myriam Ducre-Lemay, 20, died in 2012 after kissing her boyfriend — he'd eaten a peanut butter sandwich and wasn't aware of her peanut allergy (or the severity of it) and she was not carrying her EpiPen with her at the time, CTV News reports.]	[""he'd eaten a peanut butter sandwich and wasn't aware of her peanut allergy""]
The question former O.J. Simpson prosecutor hates being asked	[As the lead prosecutor in the O.J. Simpson murder case, Marcia Clark became a household name in the mid-'90s., While she hopes to one day be known as ""Marcia Clark, the author of the Rachel Knight mystery series"" and not ""Marcia Clark, the O.J. Simpson prosecutor,"" Clark knows the highly publicized trial led the public to form an opinion of her., Also in the video, Clark reveals the question people ask her that she likes least: Does she think Simpson really did it?]	['Marcia Clark', 'Does she think Simpson really did it?']
Hollywood legend's amazing home is on the market	[Hollywood legend Mitzi Gaynor is reportedly selling her Beverly Hills, California home.]	['Mitzi Gaynor', 'Beverly Hills, California']
What are mosquito-control workers spraying in Miami?	[By contrast, in Miami-Dade County, the Department of Solid Waste Management's Mosquito Control Section commonly sprays in response to state Department of Health investigations -- and when residents request the use of insecticide.]	['Dibrom']
Do birds fart?	[Have you ever wondered, ""Do birds fart?"", There’s no reason to believe that birds are somehow exempt from passing gas, but it doesn’t seem like anyone has ever truly observed—or more importantly, measured—a bird fart., In a blog post on her website, she posits that birds have much shorter digestive tracts than mammals, so there’s less time for gas to build up, allowing farts to slip by undetected., In another blog post, she describes the only written account she’s aware of describing a possible bird fart., It’s a little difficult to know for sure that birds rarely or never fart., Without a smell, bird farts rustle no one’s feathers., He added that he thinks birds do fart ""in some cases and would depend on what species, their diet, and whether it is observable."", He also said that he’s never personally noticed a bird fart., This is pure speculation, but maybe something about having feathers around the bird’s cloaca (its all-purpose back-end chute) helps the fart slip by unnoticed., And without a smell, bird farts rustle no one’s feathers.]	['They don’t fart']
Angry ex-boyfriend bursts into delivery room, assumes fighting stance and does the most...	[MIAMI — A Miami man was arrested Sunday after police said he burst into his ex-girlfriend’s delivery room, kicked her and got into a fight with her current boyfriend.]	['kicked her and got into a fight with her current boyfriend']
Local Cops Make SHOCKING Move Against Boy Selling Teddy Bear To Buy Food	[An Ohio boy got the surprise of a lifetime when police discovered he was trying to sell his teddy bear for food because he was hungry.]	['Dunham picked the boy up and took him to a Subway to get something to eat. He then took him to the Franklin Police Department.']
Parents Discover A Secret Hidden In Adoptive Daughter’s Family Tree	[Nothing could prepare Lisa or her family for what they discovered next...]	['Not only does Aubrey have cerebral palsy, but she was neglected and abused by her biological mother.']
The one morning work mistake you can't recover from	[That's why companies like Google and Microsoft let employees work from home or adjust their schedules to account for personal responsibilities, like taking a child to school in the morning., Bosses who preferred to work later hours themselves were less inclined to display this ""morning bias."", The researchers concluded that employees who can opt for flexible work schedules should shift their schedules earlier, not later, to account for managers' morning bias., In a word-association experiment designed to test the implicit stereotype that early risers are more diligent workers, the researchers also found that a majority of the 120 working adults surveyed linked words associated with the morning (like ""sunrise"") with words associated with conscientiousness (like ""industriousness"").]	['starts later']
Is It Safe To Take Melatonin Pills To Help You Fall Asleep?	[Are Melatonin Pills Really Safe?]	[""The bottom line: Unfortunately, there's not enough solid research out there on whether melatonin supplements are truly an effective and safe way to get to sleep.""]
Why there will probably never be a ""Dawson's Creek"" reunion	[The Capeside gang will likely never get back together according to ""Dawson's Creek"" star James Van Der Beek.]	[""Kevin Williamson said he didn't want to write it""]
Mom Is Pregnant With Twins. But 25 Weeks Later, Doctors Drop THIS Bombshell About Her Babies	[Because just after she proudly posed for a pregnancy photo, Edwyna was rushed to the hospital to stop her premature labor at just 25 weeks., The babies were immediately whisked away and the twins themselves were separated.]	['Sophie and Riley were considered ""micro-preemies"" and suffered a slew of health issues, like chronic lung disease and holes in their hearts.']
Apple iOS 9.3.2 Has A Nasty Surprise	[But beware, just hours after launch, it turns out iOS 9.3.2 is hiding a very nasty surprise indeed...]	['bricking iPad Pros']
State rep who likened food stamp recipients to wild animals loses Senate primary	[Rounds bested four other Republicans for the nomination: physician Annette Bosworth, state Rep. Stace Nelson, war veteran Jason Ravnsborg and state Senate Majority Whip Larry Rhoden.]	['Stace Nelson']
You'll never believe how much these Instagram models make	[But these entrepreneurial Instagram models have achieved the Gen-Y dream of earning a killing – a cool $100,000 to be precise – for a single sponsored post.]	['Paige Hathaway – £3.8million', 'Chantel Zales – £3.6 million', 'Ana Cheri – £2.4 million', 'Abigail Ratchford – £2.3 million', 'Claudia Alende – £2.1 million']
How distance brought an end to an NBA power couple that withstood conflicts of interest and professional trials:	[The announcement -- via their personal Twitter accounts -- brought an end to the NBA's version of Camelot.]	['Buss and Jackson announced that they were mutually ending their four-year engagement']
A Tourist Ignored a Museum's ""Please Don't Touch"" Sign, Guess What Happened Next	[The museum released security footage from May 31 showing a tourist touching one of the clocks before it comes crashing down from the wall.]	['In the video, an abstract, wooden sculpture clock appeared not to be working, so a male tourist decided to take matters into his own hands, pulling on weights and levers for more than 30 seconds before the clock came flying off the wall and into pieces on the floor.']
Taco Bell's Newest Menu Item Has One Ridiculous Ingredient That Will Leave You Questioning Everything	[Burritos ; T-Bell just rolled out a new menu item called the Jalapeno Popper Quesarito.]	['reduced fat sour cream']
Rebekah Brooks is back with Rupert Murdoch, and this time it's digital	[He was referring to Rebekah Brooks, the former chief executive of News International, a subsidiary of Murdoch's News Corp.]	['Brooks would eventually return to a role at News Corp, few expected her to land at Storyful']
Your favorite children's book illustrator just got his own exhibition in Chicago	[Despite the fact that renowned author and illustrator Edward Gorey was born in Chicago and spent a sizable chunk of his formative years in the Windy City, his work has never been recognized with its own exhibition.]	['Edward Gorey']
Fashion brand lets models go un-Photoshopped and makeup-free	[With more publications swearing off Photoshop (Verily magazine might just be our favorite) and more brands eschewing makeup in ad campaigns, we're happy that a project like this can add to this positive movement in the fashion industry.]	['Rag & Bone']
Jennifer Lawrence cuts off her long hair... and debuts Hollywood's biggest trend	[Stop everything: Jennifer Lawrence has chopped off her hair into a pixie cut.]	['pixie cut']
The oven cleaning hacks that will have your appliance sparkling without ANY scrubbing	[But now a new series of kitchen hacks reveals how you can get your appliance sparkling in no time at all - by using just a few simple products you probably already have in your home.]	['homemade oven cleaner', 'place the shelves in a resealable plastic bag, spray with oven cleaner, seal the bag, then leave to soak', 'old toothbrush is an essential oven-cleaning tool', 'glass scraper is ideal for removing tough stains', 'remove greasy build-up on the hood of your oven with oil']
Lawmakers could do this to fight corruption. But they won’t.	[Then, three weeks ago, ""60 Minutes"" did a sympathetic piece on Jolly’s idea, giving national attention to the scandal of lawmakers spending 30 or more hours a week dialing for dollars., Lawmakers know what needs to be done to clean up the corrupt system — but nothing happens., The goal: to get lawmakers to spend more time lawmaking., I’ve argued for other ways to get lawmakers to spend more time working — returning to the five-day week, cutting travel allowances, ending the corrosive practice of members targeting each other for defeat through party committees., Jolly’s Democratic sidekick, Nolan, said that when he first served in Congress in the 1970s, lawmakers worked full weeks, giving them time to develop respect for one another and to find common ground., Until then, surely more lawmakers on both sides can see the virtue of his cause.]	['In February, when Rep. David Jolly introduced his quixotic plan to ban members of Congress from soliciting campaign contributions, the Florida Republican had only six co-sponsors.']
He Rescued This Bizarre Creature From a Sidewalk, But He Had No Idea What It Would Grow Into	[Jeff Longo was wandering in the intense Florida heat when he saw a tiny ball of fluff on the sidewalk., Clearly, then, the first order of the day was to give the adorable and tiny creature, which was just over an inch in length, some major TLC., However, without an inkling of even which species Biscuits belonged to, Longo didn’t have the first idea about how best to raise her., As each day passed, Biscuits grew bigger and stronger, until she eventually became a healthy adult squirrel.]	['southern flying squirrel']
29 of the most beautiful TV quotes of all time	[We asked members of the BuzzFeed Community to share some of the most beautiful quotes from TV.]	['1. ""You can\'t live your life according to maybes.""', '2. ""I wish there was a way to know you’re in the good old days before you’ve actually left them.""', '3. ""And what exactly do you think fairy tales are? They are a reminder that our lives will get better if we just hold on to hope. Your happy ending may not be what you expect, but that is what will make it so special.""', '4. ""To exist is to survive unfair choices.""', '5. ""I don’t want normal, and easy, and simple. I want painful, difficult, devastating, life-changing, extraordinary love. Don’t you want that, too?""']
Man admires the fence he repaired – now watch what happens just seconds later	[In a video posted in July 2014 by YouTube user rgraves62002, a man appears to be admiring the result of a day's work in his backyard., ""Yep, just completed fixing this fence,"" the man says as his camera sweeps back and forth., What did the man eventually do with the useless fence?]	['At this point, a large dog -- presumably Stella -- bounds into view, runs to one end of the fence and jumps right over it, almost without effort.']
WHOA someone just paid $168000 for THIS	[And, let's not forget the person who paid $6,080 for four Richard Nixon books.]	[""Hope's antique cabinet""]
14 things that’ll happen in 2017 according to ""The Simpsons"	[The Simpsons said it will happen, so it must be true.]	['1. Some alt-right guy will invent the make-up gun.', '2. There will be a referendum on whether or not to deport illegal immigrants.', '3. Greedy, corrupt energy firms will cause an environmental catastrophe, and a dome will be built over the contaminated site.', '4. The chandelier in Elton John’s private jet will malfunction.', '5. It will be made illegal to teach evolution in schools.']
I was really bad at sports in high school. This new study helps me understand why.	[I was a horrible lacrosse player in high school: bad at catching the ball, slow, and not very aggressive.]	['Some people are just better at sports than others']
Say it ain't so! Jon Stewart has set his official departure date from #TheDailyShow	"[Jon Stewart now has a firm departure date from Comedy Central’s ""The Daily Show.""]"	['August 6th']
How big is Justin Bieber's dick really?	[Arguing in favor of Justin Bieber's alleged big dick are two people: Tati Neves, a Brazilian model, and Bieber's trainer Patrick Nilsson.]	['perfectly average']
"One word that should never follow ""I love you"""	"[I don’t remember the exact day, or the exact reason, or even the exact words, but I know it started with ""I love you, but ..."", ""I love you,"" usually the most beautiful and powerful triad of words in the world, becomes inauthentic and trivial — cheap.]"	"['""but""']"
If you've ever dreamed of getting up close and personal with a rocket launch, YOUR TIME IS NOW	"[While the minimum safe viewing distance is typically miles away from the launch pad, this livestream promises viewers a much closer look at a powerful rocket launch, or what NASA is calling a ""pads-eye view.""]"	['On Tuesday morning, NASA will broadcast its first-ever rocket launch livestream in 360-degree video']
Three remain from the Class of '98.		
