titre;phrase(s);spoiler
A man swallowed a microSD card and you won't believe what happened next!;[Also, they just ran a story about a man who swallowed a 64GB microSD card and then pooped it into a strainer so he could maybe recover the drone footage he shot on it.];['a man who swallowed a 64GB microSD card and then pooped it into a strainer']
This popular soda could cure your hangovers scientists say:;[A group of Chinese researchers say that they may have indeed found this perfect hangover cure -- and it goes by the name of "Sprite.", Do you have a tried-and-tested hangover cure that you swear by?];['Sprite']
Guess who Obama just dined with in Vietnam;[President Obama dined on Monday night with Anthony Bourdain in Hanoi, Vietnam during the president's week-long trip to Asia.];['Anthony Bourdain']
Angry ex-boyfriend bursts into delivery room, assumes fighting stance and does the most...;[MIAMI — A Miami man was arrested Sunday after police said he burst into his ex-girlfriend’s delivery room, kicked her and got into a fight with her current boyfriend.];['kicked her and got into a fight with her current boyfriend']
State rep who likened food stamp recipients to wild animals loses Senate primary;[Rounds bested four other Republicans for the nomination: physician Annette Bosworth, state Rep. Stace Nelson, war veteran Jason Ravnsborg and state Senate Majority Whip Larry Rhoden.];['Stace Nelson']
Your favorite children's book illustrator just got his own exhibition in Chicago;[Despite the fact that renowned author and illustrator Edward Gorey was born in Chicago and spent a sizable chunk of his formative years in the Windy City, his work has never been recognized with its own exhibition.];['Edward Gorey']
Jennifer Lawrence cuts off her long hair... and debuts Hollywood's biggest trend;[Stop everything: Jennifer Lawrence has chopped off her hair into a pixie cut.];['pixie cut']
For The First Time In Its 126-Year History, This Newspaper Endorsed A Democrat;[The Arizona Republic has only endorsed Republican candidates for president in its 126-year history];['The Arizona Republic']
How men can get the bedroom blues too;[They have a reputation for nodding off afterwards – and now it seems making love can make some men depressed, too., The report’s author, Professor Robert Schweitzer, of Queensland University of Technology in Australia, has studied data from both genders, and says PCD is ‘not uncommon’ in men., 'Some people like to cuddle, others like to be alone and there are others who experience what is described as post-sex blues.’, Psychotherapist and sex therapist Phillip Hodson, author of How To Make Great Love To A Man, said: ‘The sadness some men feel at this point may be due to the contrast between the joy of arousal and feeling like a superhero and the sensation of the feel-good hormones wearing off.’, And while women have a reputation for becoming emotional after sex, he added: ‘I think men get emotional too, but they don’t show it.’];['The sadness some men feel at this point may be due to the contrast between the joy of arousal and feeling like a superhero and the sensation of the feel-good hormones wearing off.']
This NFL Player Slept in a Utility Closet in College to Save Money;[Meet the NFL player who lived in a utility closet in college to save money (1:31) Tim Masthay, of the Green Bay Packers, and his wife Amanda are the best team in the NFL when it comes to personal finance.];['Tim Masthay']
Psychedelic drugs are not cocaine — here’s why that matters;[The word "psychedelic" can inspire visions of the 1960s — hippies dancing in mud puddles at Woodstock and Grateful Dead groupies packed into Volkswagen buses., But psychedelics may not be as dangerous and addictive as our society thinks., Many of the negative perceptions we have of psychedelics can be traced back to their prohibition in the...];['But psychedelics may not be as dangerous and addictive as our society thinks.']
You won't BELIEVE how much Paris Hilton dropped on two teeny-tiny dogs!;[Paris Hilton Drops $25K for One Pound of Dog, Paris Hilton goes big when she goes small, dropping $25K on 2 dogs.];['$25K']
This Guy Put An Ice Cream Cone In His Pocket... Seconds Later, He Was In Handcuffs.;[Putting ice cream in your back pocket., If you find yourself so moved to store ice cream in your back pocket in Alabama, you’ll pay the price, and we don’t just mean a cold rear end.];['If you find yourself so moved to store ice cream in your back pocket in Alabama, you’ll pay the price, and we don’t just mean a cold rear end.']
One of the most ‘annoying things’ on the entire planet just turned 20;[The story of Crazy Frog is as weird as the thing itself., I don't often feel old however finding out Crazy Frog is now 20 years old...];['Crazy Frog']
You'll Never Guess What (Or Who) Michael Douglass' Son Cameron Has Tattooed On His Abs;[For Cameron Douglass, that goes double., His dad is, of course, Michael Douglass, whose own dad is film legend Kirk Douglass., The 37-year-old shared this photo of his post-prison physique, including — yes, really — his abdomen tattoos of Michael and Kirk.];['Michael and Kirk']
This company wants you to bring your dog to work;[Nvidia, it turns out, allows and even encourages its workers to bring their dogs to work., "If you want to be a responsible dog parent, one way to do that is to provide them company., Nvidia’s puppy love began informally several years ago, when one worker asked Huang if he could bring his dog to work., More dog owners started bringing their pets, and the company adopted a formal policy., Most dogs adjust quickly to the new digs once they start coming to work, and owners bring beds or blankets to cozy up on the floors of their cubicles, where dogs loll much of the day.];['Nvidia']
This is how much coffee Americans drinks every day;[2.1 coffee drinks per day, and it increases with age.];['2.1 coffee drinks']
Are Red Hot Chili Peppers Really 'The Worst Band In The Universe'?;[And even if you truly can’t stand the Red Hot Chili Peppers, you’d still have a hard time arguing they were even the worst band on this stage – not when Imagine Dragons were the most recent occupants of it.];['you’d still have a hard time arguing they were even the worst band on this stage']
Obama’s Female Staffers Came Up With a Genius Strategy to Make Sure Their Voices Were Heard;[When President Obama first took office, the White House wasn’t exactly the friendliest place for female staffers., and came up with a system to make sure they were heard:, Female staffers adopted a meeting strategy they called "amplification": When a woman made a key point, other women would repeat it, giving credit to its author., As the Post points out, things have gotten much better for female staffers in Obama’s second term.];['Female staffers adopted a meeting strategy they called "amplification": When a woman made a key point, other women would repeat it, giving credit to its author.']
'Star Wars: Episode 8' Working Titled Leaked;[In a video that seems to show some kind of Star Wars celebration, an apparent poster depicts Episode VIII to have the title Fall of the Resistance., It was so popular that Family Guy titled the first part of its Star Wars trilogy after Episode VI's working title.];['Fall of the Resistance.']
We've finally figured out when the moon formed;[Earth was born about 4.5 billion years ago, and scientists think the moon formed shortly afterward., The simulations found that numerous fragments from the moon-forming impact — hundreds of millions of which were at least a mile (1.6 kilometers) long — blasted the asteroid belt, striking asteroids there at speeds of more than 22,370 mph (36,000 km/h), more than twice as fast as typical crashes in the belt., The researchers deduced that the moon-forming impact occurred about 4.47 billion years ago, in agreement with many previous estimates.];['4.47 billion years ago']
Another country decriminalizes marijuana;[As of Oct. 1, possession of marijuana is decriminalized in Switzerland.];['Switzerland']
The last utopia?;[Wellington-based journalist Ben Collins asks whether New Zealand is becoming a "utopia" for Americans looking to leave., Mr Thiel, who previously said New Zealand was a "utopia" and has invested heavily there, is just one of several US migrants who have realised what the country has to offer.];['Mr Thiel, who previously said New Zealand was a "utopia" and has invested heavily there, is just one of several US migrants who have realised what the country has to offer.']
Wow! This Company Pays For Employees' Weddings And Their Kids' College;[Boxed, an online Costco-like retailer, just announced that the company will pay for employee weddings (up to $20,000)., This was in addition to last year’s announcement that the company would cover the costs for employees’ kids to attend college.];['Boxed']
What's lurking in your white wine WILL scare you;[White wine, beer and Brussels sprouts can be major sources of the toxic metal arsenic in people's diets, according to a new study., Of the 120 foods the researchers looked at, four turned out to significantly raise people's arsenic levels: beer, white wine (and to a lesser extent, red wine), Brussels sprouts and dark-meat fish such as salmon, tuna and sardines, according to the study, published last week (Nov. 16) in the Nutrition Journal., People who reported drinking on average two and half beers or a glass of white wine every day had arsenic levels 20 to 30 percent higher than those of people who didn't drink.];['toxic metal arsenic']
Here's what Donald Trump rejects when he undermines the election results;[In what immediately became the headline moment at the third and final presidential debate on Wednesday night, Republican candidate Donald Trump sparked widespread outrage by saying he would keep the nation "in suspense" about whether he will accept the results of the election next month.];['he would keep the nation "in suspense" about whether he will accept the results']
Trouble in paradise? Rose Leslie doesn't want to work with Game Of Thrones beau Kit Harington again;[Working and spending each day with your partner can be challenging at the best of times, but we never predicted that Kit Harington's girlfriend would have such thoughts., Despite bagging one of the most sought-after hunks on the small screen, Rose Leslie has pledged to never work with her love again., The 29-year-old redhead had the pleasure of acting as Ygritte alongside her scraggly-haired beau – who has captured the hearts of many a teenage fangirl – during her stint in hit television series, Game Of Thrones., As much as she loves her boyfriend, Leslie wants to achieve her own success away from the gossip-mongers who feed off her high-profile relationship, which means working on individual projects and carving out a career on her own accord.];['wants to achieve her own success']
This Genius Pokémon Go Theory May Have Just Revealed Where You Can Find Mew;[That being said, we have every reason to believe you can find Mew in Pokémon Go — that is if you’re in Guyana.];['Guyana']
#NeverTrump Loses Another One - I'm Shocked And Trump's Cheering!;[What once was a strong group of so-called "Republicans" bent on defeating Donald Trump has slowly crumbled as more and more jump on-board the #TrumpTrain., #NeverTrump is falling apart., What once was a strong group of so-called "Republicans" bent on defeating Donald Trump has slowly crumbled as more and more jump on-board the #TrumpTrain., This latest defection has NeverTrump in full on panic mode!, Rebuilding America Now, a new Super PAC that backs presumptive Republican nominee Donald Trump, hired Alex Castellanos., He previously worked for Mitt Romney and was quietly supporting a Stop Trump effort last fall., Castellanos is now helping guide Rebuild America Now along with its backer Tom Barrack, who is a friend of Trump., The Trump campaign has not publicly blessed the super PAC., "I’m worried that we don’t have four or eight more years to wait to change direction," Castellanos stated, explaining why he decided to join the group after having opposed Trump, according to the New York Times., Is that the end of #NeverTrump?, Will you support Donald Trump?, Catch all the Catch all the latest TRUMP news here., And LIKE this page for the latest TRUMP news];['Alex Castellanos']
This trailer will take your breath away;[Here's where things are at for "Gravity" at the moment: Even after months of advanced hype and an early wave of reviews that have the film pegged as a major Oscar contender, something like this full "Gravity" trailer can debut and make Alfonso Cuaron's feature look even better than all initial expectations would indicate., "Gravity" stars Sandra Bullock, George Clooney and your held breath.];['"Gravity"']
7 of the 10 Drunkest Cities in America Are All in a Single State;[What that data showed was that 7 of the top 10 and 12 of the top 20 cities most inclined to binge are in the state of Wisconsin.];['Wisconsin']
Sacha Baron Cohen and his wife donate $1 million to Syrian refugees;[Sacha Baron Cohen (L) and his wife Isla Fisher (R) are donating $1 million (900,000 euros) to help Syrian refugees, the charities receiving the money have said (AFP Photo/), London (AFP) - British comedian Sacha Baron Cohen and his wife are donating $1 million (900,000 euros) to help Syrian refugees, the charities receiving the money announced Sunday.];['Isla Fisher']
The best city for newlyweds is...;[A recent study by CreditDonkey.com reveals that Atlanta is the best U.S. city for newlywed couples starting a life together., In May 2013, Rent.com released their list of the best cities for newlyweds with Tulsa, Okla. coming out on top.];['Atlanta']
The ISIS Says It's Scared Of Only One Country And It's Not America Or Russia;[But he also told the world that ISIS fears only one country's soldiers in the world., Hard to guess, but this is what the German journalist said in an interview and he added that Israel is not included in ISIS' planned "first stage" of colonization in the Middle East.];['Israel']
Oscar favorite latest name rumored for "Star Wars";[Because an actor isn't truly an actor until they're rumored for a role in "Star Wars," Chiwetel Ejiofor is the latest name to surface as a potential participant in J.J. Abrams' "Star Wars: Episode VII."];['Chiwetel Ejiofor']
You Won’t Believe What Emma Roberts Has Done Now;[Emma Roberts, of Julia Roberts fame, has committed a crime so heinous it requires a two-sentence Daily Mail headline., "Emma Roberts is still wearing her updo braids TWO DAYS after debuting the glamorous look at the Met Gala."];['is still wearing her updo braids TWO DAYS after debuting the glamorous look at the Met Gala']
President Trump? There’s only one way to stop it happening;[I hate to be an alarmist, but Donald Trump could be on course to be elected president of the United States – and the decisive moment may well come on Monday night., That’s when he faces hate to be an alarmist, but Donald Trump could be on course to be elected president of the United States – and the decisive moment may well come on Monday night., She’s been advised that she mustn’t interrupt too much or talk over Trump: apparently voters react badly to seeing a woman act that way., In a two-party system like America’s, if you want to stop Trump, then a vote for Johnson or Stein will not do it., It is indeed a referendum on Trump and the only way to vote no in that referendum is to vote Clinton., And the alternative is President Trump.];['vote Clinton.']
Guess Who Amber Rose Wants to Be Her Next Baby's Father;[Amber Rose has one adorable kid with her ex, Wiz Khalifa , and she's apparently already thinking about baby No. 2.];['Wiz Khalifa']
Adele's "Hello" video smashes YouTube record;[Adele continues to smash records as her hit song "Hello" became the fastest video to break 1 billion views on YouTube.];['fastest video to break 1 billion views']
